date,n_articles,vader_linear,vader_exp_hl7,tb_polarity,vader_compound
2021-01-31,3,0.2826666666666667,-0.23896363636363635,0.1111111111111111,0.2826666666666667
2021-02-28,2,0.51685,0.37259951434868627,0.04,0.51685
2021-03-31,1,-0.4588,-0.45879999999999993,0.04545454545454545,-0.4588
2021-04-30,1,0.0,0.0,0.025,0.0
2021-05-31,2,-0.76935,-0.8260000000000001,-0.12708333333333333,-0.76935
2021-06-30,1,-0.296,-0.296,0.03333333333333333,-0.296
2021-07-31,1,-0.8553,-0.8553,-0.065,-0.8553
2021-08-31,1,0.8074,0.8073999999999999,0.21140151515151515,0.8074
2021-09-30,1,-0.0258,-0.0258,0.09,-0.0258
2021-10-31,1,0.296,0.296,0.0,0.296
2021-11-30,2,-0.1806,-0.061469816663413356,0.00046969696969696994,-0.1806
2021-12-31,2,0.1909,0.34629068813348585,-0.17916666666666667,0.1909
2022-01-31,1,0.0,0.0,0.15625,0.0
2022-02-28,1,0.0258,0.025800000000000003,0.0,0.0258
2022-03-31,1,-0.34,-0.3400000000000001,0.012121212121212116,-0.34
2022-04-30,1,-0.4019,-0.4019,0.1,-0.4019
2022-05-31,2,-0.61375,-0.6441589241095951,-0.01111111111111111,-0.61375
2022-06-30,2,-0.61215,-0.725442408571754,0.009062500000000008,-0.61215
2022-07-31,1,-0.3415,-0.3415,-0.3333333333333333,-0.3415
2022-09-30,1,0.6486,0.6485999999999998,0.75,0.6486
2022-11-30,3,-0.6783333333333333,-0.5869899622955256,0.011111111111111108,-0.6783333333333333
2022-12-31,1,-0.6249,-0.6249,-0.28,-0.6249
2023-01-31,1,-0.4939,-0.4939,0.09375,-0.4939
2023-02-28,1,-0.4019,-0.4019,-0.06388888888888888,-0.4019
2023-03-31,1,-0.743,-0.743,0.1,-0.743
2023-04-30,1,-0.4019,-0.4018999999999999,0.25,-0.4019
2023-06-30,1,0.7351,0.7351,-0.06666666666666667,0.7351
2023-07-31,1,0.2292,0.2292,0.19374999999999998,0.2292
2023-08-31,1,0.4588,0.4588,-0.10611111111111111,0.4588
2023-09-30,1,0.5859,0.5859,0.012499999999999994,0.5859
2023-10-31,1,0.7964,0.7964,0.0,0.7964
2023-11-30,1,-0.4939,-0.4939,0.1,-0.4939
2023-12-31,2,0.7321500000000001,0.8296253007018594,-0.031250000000000014,0.7321500000000001
2024-01-31,2,0.7136,0.7206869939896178,0.034753787878787884,0.7136
2024-02-29,4,0.274925,0.044502369335800575,0.0231060606060606,0.274925
2024-03-31,2,-0.5992,-0.7121670013350595,0.1579743867243867,-0.5992
2024-04-30,1,-0.6705,-0.6705,0.10476190476190476,-0.6705
2024-05-31,1,0.8481,0.8481,0.14,0.8481
2024-06-30,1,0.3818,0.3818,0.05,0.3818
2024-07-31,1,-0.34,-0.34,-0.2,-0.34
2024-08-31,1,0.0,0.0,0.0,0.0
2024-09-30,1,-0.2023,-0.2023,0.15625,-0.2023
2024-10-31,1,0.4576,0.45759999999999995,0.015625,0.4576
2024-11-30,2,0.5932,0.4670117161002822,0.13125,0.5932
2024-12-31,2,-0.1306,-0.32518581748668834,0.125,-0.1306
